Irrelevant,Greenhouse Gas (GHG) Emissions,30
GHG,Record low petroleum spill volume,33
Irrelevant,refinery flare emissions data; and,34
GHG,1 percent for Environmental Stewardship,39
GHG,1 percent for environmental stewardship,39
Irrelevant,environmental   resources   we   manage,39
GHG,Developed low carbon technology strategies,42
Irrelevant,Reduced carbon emissions by 35% since 2005,42
GHG,"health, environmental and safety—15 percent",43
Irrelevant,Increase corporate environmental disclosure,43
Irrelevant,an excellent environmental and safety record,44
Irrelevant,an  excellent environmental and safety record,45
Irrelevant,"Health, Safety, Security, and Environmental: 5%",47
Irrelevant,Supply Chain Environmental  Sustainability Goal,47
Irrelevant,"Health, Safety, Security, and Environmental:   10%",50
Irrelevant,Industry leader in safety and environmental issues,50
Irrelevant,No significant process safety or environmental events,53
Irrelevant,"Continue emphasis on health, safety and the environment",55
Irrelevant,"o Continue emphasis on health, safety and the environment",57
Irrelevant,"Reduced CO2 emissions from shipboard operations by 20%, and",59
Irrelevant,"Health, Safety, and Environmental (2) 13.33%     27.41%   III",61
GHG,Working across our supply chain to minimize environmental impacts;,66
GHG,Reduction of the Company’s environmental footprint Met or Exceeded,66
Irrelevant,environmental  pollution  liabilities  were  ceded  to  a  reinsurer,68
Irrelevant,"Valero’s achievements in health, safety, and environmental concerns;",68
Irrelevant,"Emphasize and improve health, safety and environmental practices Good",69
Irrelevant,"Valero’s achievements in the areas of health, safety, and environmental;",72
Irrelevant,"Valero’s achievements in the areas of health, safety, and environmental;",72
Irrelevant,"Continue focus on and improve health, safety and the environment metrics",72
Irrelevant,"o                   Continue emphasis on health, safety and the environment",75
Irrelevant,Targeting carbon emissions reductions of at least 80% below 2005 levels by 2050,79
Irrelevant,"Reinforce adherence to high ethical, environmental, health and safety standards",79
Irrelevant,Companies are increasingly turning to renewable energy to power their operations,80
GHG,"Introduced new standards and strategies on human rights, energy and climate change",82
GHG,Environmental performance at target driven by Oil Spill Rate near high end of goal,82
